epoch,train_azimuth,train_distance,train_height,train_s_azimuth,train_s_distance,train_s_height,train_s_side,train_side,train_total,val_azimuth,val_azimuth_circular_mae_deg,val_distance,val_distance_mae,val_height,val_height_mae,val_s_azimuth,val_s_distance,val_s_height,val_s_side,val_side,val_side_accuracy,val_total
1,0.16824922071865353,3.6966333863062735,5.523366612501634,-0.04596422236304184,0.021289422561657816,0.029619611041058445,-4.7202773674898825e-05,1.3937877932420144,10.606242042321425,0.08548836270347238,19.85950294137001,2.4749122926344476,2.4749122926344476,4.756263038764398,4.756263038764398,-0.09217748790979385,0.032494112849235535,0.05588677152991295,-0.00013184254930820316,1.3888163131972153,0.2727864583333333,8.372340920070807
2,0.14246794821407932,1.6295961514115334,2.759703882611715,-0.1380436612197604,0.04128293540233221,0.07631061307321756,-4.696470666614844e-05,1.3878474602332482,5.657358791583624,0.34004622177841765,41.168361246585846,2.3904943577945232,2.3904943577945232,2.0087049740056195,2.0087049740056195,-0.18559466302394867,0.049100738018751144,0.09125328809022903,-2.288184259668924e-05,1.3919724797209103,0.2565104166666667,5.865607197086017
3,0.08448683749884367,1.3048437468898602,1.9055933436522117,-0.23370061384943816,0.05392886716156052,0.10315486795913714,-4.1941061668492006e-05,1.3868314176797867,4.373088321624658,0.05893431146008273,14.811724414428076,0.8437075528005759,0.8437075528005759,1.7773453406989574,1.7773453406989574,-0.2820909023284912,0.058527033776044846,0.11337726563215256,-0.0001650314370635897,1.3838324670990307,0.265625,3.7344338869055114
4,0.07127813902946237,1.0945716886184154,1.354112904232282,-0.3289833096548533,0.06059314877702258,0.11838157422458515,-4.490642181145596e-05,1.385648304835344,3.567861719009204,0.08968810581912597,20.693167726198833,0.8003258686512709,0.8003258686512709,1.5781023403008778,1.5781023403008778,-0.3765103816986084,0.059987906366586685,0.12122484296560287,-4.31205153290648e-05,1.3816565262774627,0.2799479166666667,3.4687336136897406
5,0.0556770331847171,0.8721204910140771,1.0170259659106915,-0.4226920621899458,0.05647120951937559,0.1200699889077208,-3.4810231571241316e-05,1.3840402284493813,2.9486283426865554,0.07447034221452971,17.696116884549458,0.7041555351267258,0.7041555351267258,2.2118971397479377,2.2118971397479377,-0.4691687226295471,0.049818508327007294,0.11690084636211395,-3.129209653707221e-05,1.3786781777938206,0.2734375,3.833094855149587
6,0.05288665452733254,0.687220271390218,0.8298023994534444,-0.5137437754907669,0.038544664290757515,0.11106451567357932,-3.9690758533548996e-05,1.3819027608021712,2.5095326594817333,0.029265685317416985,10.718859453996023,0.5678754393011332,0.5678754393011332,0.5153332942475876,0.5153332942475876,-0.5585556030273438,0.025838423520326614,0.102852463722229,-6.067043432267383e-05,1.3778618065019448,0.2903645833333333,2.01753573367993
7,0.04589075773046949,0.5027794324052639,0.6358494370793685,-0.6018972597443141,0.0073750298638165426,0.09000461503194693,-3.325687245719768e-05,1.380178988744051,2.0395506341487932,0.03096229610188554,10.462880710760752,0.3701147095610698,0.3701147095610698,0.563142125805219,0.563142125805219,-0.6452869772911072,-0.01309204287827015,0.07663591206073761,-5.0272727094125e-05,1.3743109193940957,0.2981770833333333,1.7482069029162328
8,0.04103022622756469,0.4022400574042247,0.5022213046367352,-0.6870880403961891,-0.036428509309935644,0.058926050598995805,-3.9555880933679516e-05,1.376049517821043,1.6830149898544335,0.042675129525984325,14.151185592015585,0.25485882970194024,0.25485882970194024,0.5717318821698427,0.5717318821698427,-0.7290253043174744,-0.06287335604429245,0.039734479039907455,-1.4066258700040635e-05,1.3710988300542037,0.3111979166666667,1.5282649130870898
9,0.04387931512573209,0.2768682348422515,0.40276783055219895,-0.768278565735389,-0.09219741097723062,0.018160680003919155,-3.6122191953443426e-05,1.3754403698138702,1.3255877840595367,0.012329995709781846,6.619876970847447,0.1574338792512814,0.1574338792512814,0.28890204181273776,0.28890204181273776,-0.8082664608955383,-0.12413716316223145,-0.005948595702648163,-6.702868267893791e-05,1.3650568164885044,0.3098958333333333,0.9232657495886087
10,0.03314725048123644,0.24526921048378333,0.29829789774540144,-0.8469790678757888,-0.15515374220334566,-0.032960377694764294,-3.469133074181977e-05,1.3704296388687232,1.0075609061198356,0.021917564716810983,9.14112381140391,0.17316412863632044,0.17316412863632044,0.2642032119135062,0.2642032119135062,-0.885399341583252,-0.1874772161245346,-0.06034856662154198,-1.5520432498306036e-05,1.3582850818832715,0.3404947916666667,0.767702121908466
11,0.03543575823259277,0.25793718030819524,0.27652418594329786,-0.9213938481914692,-0.21681614683415645,-0.08701638878585818,-2.556354751312084e-05,1.3677968547130241,0.8529528717582042,0.057765522971749306,15.50603782137235,0.12761337806781134,0.12761337806781134,0.15369747889538607,0.15369747889538607,-0.9576712846755981,-0.2465815246105194,-0.11612256616353989,-7.530140010203468e-06,1.355706613510847,0.3209635416666667,0.5217715986073017
12,0.029626330360770226,0.1831676797607006,0.2008849411056592,-0.9919493483045162,-0.27830413490151745,-0.14635142194441494,-3.653017362044609e-05,1.3600581181355011,0.4977838076077975,0.024038332048803568,10.036872446537018,0.1832465703288714,0.1832465703288714,0.19019715550045171,0.19019715550045171,-1.0266026258468628,-0.3102419078350067,-0.17674116790294647,-2.6524096028879285e-05,1.3467590380460024,0.3385416666666667,0.37715706415474415
13,0.028561476916552354,0.17419080589062128,0.20321195801863304,-1.0587261907565289,-0.34013922111346173,-0.20475378384192786,-2.1284494438193e-05,1.3513251386391811,0.32361848404010135,0.012850561024000248,7.029706388711929,0.11441316455602646,0.11441316455602646,0.16778921956817308,0.16778921956817308,-1.0911686420440674,-0.37034469842910767,-0.23413705825805664,-5.12677725055255e-05,1.3337022711833317,0.32421875,0.0540867547194163
14,0.025494318813658677,0.1442323134113581,0.14998272099556068,-1.121260853149952,-0.3997601912571834,-0.2631685353624515,-2.331844926217741e-05,1.3330234117232835,0.037392736436464846,0.011235648184083402,6.563346246878306,0.19908217216531435,0.19908217216531435,0.1327623544881741,0.1327623544881741,-1.1515874862670898,-0.4289449155330658,-0.292370468378067,-2.1137037037988193e-05,1.3032781518995762,0.3880208333333333,-0.050511434053381286
15,0.025752558934096344,0.13013267268737158,0.1463829557865094,-1.1793166051308315,-0.4559768726810431,-0.3191651356143829,-4.055531079127643e-05,1.3069910693627138,-0.15742910959017584,0.008964106207713485,5.944517294565837,0.06973738533755143,0.06973738533755143,0.13467690659066042,0.13467690659066042,-1.2073147296905518,-0.4837705194950104,-0.3464600443840027,-1.509824323875364e-05,1.2816212854037683,0.4010416666666667,-0.4223725323875745
16,0.022488809190690517,0.11870995316749965,0.13379119967038816,-1.2331349345353932,-0.5091237409565693,-0.37119485934575397,-2.3065478019477453e-05,1.2637133265917118,-0.3813382436831792,0.01758440405440827,8.606034288803736,0.13980367903908095,0.13980367903908095,0.15654219562808672,0.15654219562808672,-1.258884310722351,-0.5344482660293579,-0.39686426520347595,-4.6995137381600216e-05,1.2590752840042114,0.4270833333333333,-0.3978078334281842
17,0.018447904381901026,0.09982809156943591,0.11008587708840004,-1.282656831619067,-0.5580626926743067,-0.4204021497414662,-3.503085086947886e-05,1.217834849197131,-0.6349418233984556,0.011907242432547113,6.707832098007202,0.05742101805905501,0.05742101805905501,0.08214378729462624,0.08214378729462624,-1.3064699172973633,-0.5818872451782227,-0.4442873001098633,-3.532828122843057e-05,1.2223270007719595,0.4401041666666667,-0.8354917075484991
18,0.01967923393329749,0.09308685744420075,0.09901121793649136,-1.327729338254684,-0.6033925628050779,-0.465902391821146,-2.9674283891331573e-05,1.1818415281864314,-0.8130738905225044,0.011140156847735247,6.659476727247238,0.0675538902481397,0.0675538902481397,0.13984696504970393,0.13984696504970393,-1.3492525815963745,-0.6248314380645752,-0.4876517355442047,-1.5143038581300061e-05,1.2504500302796562,0.4055989583333333,-0.8144166711717844
19,0.017412712427381523,0.08001602842257573,0.08943344614444634,-1.3684377093345692,-0.6444397954604565,-0.5071320670346419,-3.086590223780114e-05,1.13257263868283,-1.0181339025879517,0.0055516263625274105,4.662069857120514,0.04520555275181929,0.04520555275181929,0.07543623882035415,0.07543623882035415,-1.3878906965255737,-0.663984477519989,-0.5267104506492615,-8.628372597740963e-06,1.1320818432917197,0.4759114583333333,-1.2087078286955755
20,0.015861485332537156,0.07631602634986241,0.08544929459308967,-1.405120883232508,-0.6811529292892187,-0.5440490706226765,-2.1308637332122058e-05,1.0927385391715245,-1.1750961203987782,0.004038631993656357,3.8632208903630576,0.06569820828735828,0.06569820828735828,0.07659865543246269,0.07659865543246269,-1.4224714040756226,-0.6987258195877075,-0.56138676404953,-1.7484175259596668e-05,1.138408634190758,0.4765625,-1.2610065247863531
21,0.014796590384764548,0.0692281967554337,0.07416191544288243,-1.4376825403708677,-0.7140144218619053,-0.5770360414798443,-6.03347775220861e-05,1.0437506408645556,-1.3493153657286594,0.00497284527712812,4.334499071041743,0.044071029871702194,0.044071029871702194,0.08745067256192367,0.08745067256192367,-1.4530962705612183,-0.7295756340026855,-0.592454195022583,-0.00023266058997251093,1.1506433757022023,0.4635416666666667,-1.3536223104844491
22,0.013940462496322699,0.06088814922632315,0.07135203041327305,-1.466471743889344,-0.7432327484473203,-0.6059588052523441,-0.0001497734818127419,1.0160579736798236,-1.4803813860202446,0.00523366507453223,4.576451261838277,0.04679523967206478,0.04679523967206478,0.06054908720155557,0.06054908720155557,-1.4799636602401733,-0.7568222284317017,-0.6195523142814636,-0.0003183606022503227,1.07358313134561,0.4934895833333333,-1.547491540511449
23,0.013411657992177285,0.055841031173865,0.06383115760026833,-1.491632980796007,-0.7687343712418507,-0.6314422171085309,-0.0013041368901889282,0.9685820096578354,-1.6231083180277774,0.007934980715314547,5.509574472904205,0.06173717106382052,0.06173717106382052,0.06332050822675228,0.06332050822675228,-1.5033706426620483,-0.7806047201156616,-0.6432693004608154,-0.0024212875869125128,1.1546279170239966,0.4850260416666667,-1.4813179889072974
24,0.010788477718448028,0.04974211905247126,0.05422440324074183,-1.5135325334775143,-0.790978899368873,-0.653638804379182,-0.004454857898870101,0.9304512143135071,-1.764952117815996,0.004691394860856235,4.346207479635875,0.07436234752337138,0.07436234752337138,0.06104902612666289,0.06104902612666289,-1.5237810611724854,-0.8012474775314331,-0.6639968752861023,-0.0068441228941082954,1.3196573490276933,0.3984375,-1.3613246108094852
25,0.010358112362714915,0.043086123963197075,0.051691717062240995,-1.5325246919424107,-0.8101794339525394,-0.6729298151838474,-0.010194715418411085,0.8842814912398657,-1.886285350490839,0.005061690928414464,4.356146981318791,0.05651127236584822,0.05651127236584822,0.04682405355075995,0.04682405355075995,-1.5413378477096558,-0.8191232681274414,-0.6817864179611206,-0.013619422912597656,0.9623958465332786,0.58203125,-1.8358451860646408
26,0.007975722185503215,0.03991315685785734,0.04239983054307791,-1.5489398351846597,-0.8267510435902156,-0.6895014798411956,-0.017083713948989335,0.859065922598044,-1.9952250562417202,0.003865270564953486,3.7968541383743286,0.029035480692982674,0.029035480692982674,0.05715137099226316,0.05715137099226316,-1.55657160282135,-0.8344907164573669,-0.6972460150718689,-0.021210534498095512,1.005537227417032,0.568359375,-1.8824350734551747
27,0.007704410773630326,0.03955031339174662,0.04380565308607542,-1.5631347508766713,-0.8411246274526303,-0.7039000265873395,-0.025206368249387313,0.8370587797119067,-2.0578080194118695,0.004031539312563837,3.921061158180237,0.03268514511485895,0.03268514511485895,0.053092301512757935,0.053092301512757935,-1.5697365999221802,-0.8477006554603577,-0.7104896306991577,-0.02912835404276848,0.9167840820737183,0.6204427083333334,-2.009462676321467
28,0.008677301343339376,0.03814008908394056,0.04005719549380816,-1.5754601172147653,-0.853450056260977,-0.7162971278795829,-0.03296926614040366,0.8089746408737623,-2.1286608318869886,0.003655498653339843,3.750119278828303,0.0372795145958662,0.0372795145958662,0.0438532754778862,0.0438532754778862,-1.5812067985534668,-0.8592687845230103,-0.7221292853355408,-0.037286851555109024,0.8823749728811284,0.6158854166666666,-2.087907157217463
29,0.007487577135459735,0.0376738462692652,0.041844125741567366,-1.5863654422454345,-0.8644561868829604,-0.727319716834105,-0.04158735379146842,0.7806797399161718,-2.1932320579504356,0.0045692152343690395,4.105488419532776,0.03323653774956862,0.03323653774956862,0.05739437850813071,0.05739437850813071,-1.5915578603744507,-0.8696343302726746,-0.7324939370155334,-0.04561881721019745,0.9023576381926736,0.611328125,-2.073689140379429
30,0.00744792464404152,0.032649313601163715,0.0393603184284308,-1.5963597500171416,-0.8744905187915533,-0.7373375541124588,-0.049903196354325004,0.7598048376922424,-2.262053829737199,0.0035571010084822774,3.683564007282257,0.04421221589048704,0.04421221589048704,0.042118056366840996,0.042118056366840996,-1.6011974811553955,-0.8793748021125793,-0.7421730160713196,-0.05390780046582222,0.9054321966444453,0.60546875,-2.108438470711311
